Food ID,Food Name,Cuisine,Ingredients,Spice Level,Rating,Recommended For,Physical Activity Level,Stress Level,BMI Category,Blood Pressure,Preference
1,Nasi Goreng,Indonesian,"Fried rice, chicken, prawns, eggs, shallots, soy sauce",Moderate,4.5,Street Food Fans,High,Mild,Normal,120/80,Savory
2,Rendang,Indonesian,"Spicy beef stew, coconut milk, lemongrass, galangal",High,4.8,Spicy Food Enthusiasts,High,Moderate,Overweight,130/85,Savory
3,Gado-Gado,Indonesian,"Mixed vegetable salad, peanut sauce, tofu, tempeh",Mild,4.7,Vegetarians,High,Low,Normal,118/75,Vegetarian
4,Nasi Padang,Indonesian,"Steamed rice, rendang, sambal, curried fish, cassava leaves",High,4.6,Spicy Food Enthusiasts,High,Mild,Normal,120/80,Savory
5,Soto Ayam,Indonesian,"Chicken soup, vermicelli, shredded chicken, turmeric",Mild,4.7,Soup Lovers,High,Moderate,Normal,120/80,Neutral
6,Martabak,Indonesian,"Stuffed pancake with chocolate, cheese, peanuts",Mild,4.9,Street Snack Fans,Low,Low,Normal,118/75,Sweet
7,Bakso,Indonesian,"Meatball soup, noodles, tofu, vegetables",Mild,4.8,Soup Lovers,High,High,Overweight,130/85,Savory
8,Sate Ayam,Indonesian,"Grilled chicken skewers, peanut sauce, sweet soy sauce",Moderate,4.6,Meat Lovers,High,Moderate,Normal,120/80,Savory
9,Nasi Uduk,Indonesian,"Coconut rice, fried chicken, anchovies, peanuts, tempeh",Mild,4.7,Comfort Food Enthusiasts,High,Moderate,Overweight,130/85,Savory
10,Pempek,Indonesian,"Fishcake, tapioca, vinegar sauce",Mild,4.5,Street Food Fans,High,High,Overweight,130/85,Savory
11,Ayam Penyet,Indonesian,"Smashed fried chicken, sambal, cucumber, tempeh, tofu",High,4.8,Spicy Food Enthusiasts,High,Mild,Overweight,130/85,Savory
12,Sop Buntut,Indonesian,"Oxtail soup, carrots, potatoes, tomatoes",Mild,4.7,Soup Lovers,High,Moderate,Overweight,130/85,Savory
13,Pisang Goreng,Indonesian,Deep-fried bananas,Mild,4.9,Street Snack Fans,Low,Low,Normal,118/75,Sweet
14,Sambal Matah,Indonesian,Raw shallot and lemongrass sambal,High,4.6,Spicy Food Enthusiasts,High,Low,Normal,122/78,Spicy
15,Sate Kambing,Indonesian,"Grilled lamb skewers, sweet soy sauce, peanut sauce",Moderate,4.8,Meat Lovers,High,Mild,Overweight,130/85,Savory
16,Pecel Lele,Indonesian,"Fried catfish, peanut sauce, vegetables",Mild,4.7,Seafood Enthusiasts,High,High,Overweight,130/85,Savory
17,Ketoprak,Indonesian,"Tofu, rice cake, vermicelli, peanut sauce, crackers",Mild,4.6,Vegetarians,High,Mild,Normal,120/80,Savory
18,Ikan Bakar,Indonesian,"Grilled fish with sambal, lime",High,4.5,Seafood Enthusiasts,High,Low,Normal,118/75,Savory
